title,description,labels,due_date,priority,category,estimation
"Créer l'interface de création et d'édition d'articles","Développer une interface complète pour la rédaction et l'édition d'articles dans le back-office administrateur avec éditeur WYSIWYG, support Markdown, prévisualisation temps réel, gestion métadonnées, upload images, brouillons automatiques, statuts publication, planification.","enhancement,dashboard,cms,priority:high",2026-02-06,High,CMS,3-4 jours
"Créer la liste de contrôle des articles publiés","Développer une vue de gestion pour afficher, filtrer et contrôler tous les articles avec liste paginée, filtres par statut/auteur/date/catégorie, recherche, actions en masse, statistiques par article, tri personnalisé, gestion versions.","enhancement,dashboard,cms,priority:high",2026-02-08,High,CMS,2 jours
"Créer la bibliothèque de médias et gestion des ressources","Développer un système de gestion de médias avec upload drag & drop, gestion dossiers, prévisualisation, métadonnées, recherche/filtres, optimisation automatique images, intégration AWS S3/CloudFront, documents liés aux articles.","enhancement,dashboard,media,aws,priority:medium",2026-02-10,Medium,CMS,2-3 jours
"Configurer l'affichage et la navigation de la sidebar mobile","Créer une interface de configuration pour personnaliser la sidebar mobile avec ordre des éléments, activation/désactivation sections, personnalisation icônes, prévisualisation temps réel, gestion permissions par rôle, mode sombre/clair.","enhancement,dashboard,ui/ux,mobile,priority:low",2026-02-12,Low,CMS,1-2 jours
"Créer le système de paramétrage des créneaux horaires","Développer une interface pour gérer disponibilités et créneaux avec configuration heures d'ouverture par jour, durée des créneaux, exceptions (jours fériés, absences), créneaux récurrents, limite par créneau, fuseau horaire, délai réservation minimum.","enhancement,dashboard,appointments,priority:high",2026-02-11,High,Rendez-vous,2-3 jours
"Implémenter la capacité de réserver manuellement pour un client","Créer une interface pour l'admin avec sélection client (recherche), choix créneau disponible, ajout notes internes, confirmation email automatique, gestion conflits, modification/annulation rendez-vous.","enhancement,dashboard,appointments,priority:high",2026-02-13,High,Rendez-vous,2 jours
"Créer la vue d'ensemble (calendrier) des rendez-vous","Développer une interface calendrier avec vue jour/semaine/mois, affichage détails au survol, filtres par statut, export iCal/CSV, intégration Google Calendar, notifications rappel, statistiques taux de remplissage.","enhancement,dashboard,appointments,calendar,priority:medium",2026-02-15,Medium,Rendez-vous,2-3 jours
"Créer l'interface de gestion des profils utilisateurs","Développer une interface complète avec liste utilisateurs, filtres/recherche avancée, modification profils, gestion rôles/permissions, activation/désactivation comptes, historique actions, réinitialisation mot de passe, envoi emails.","enhancement,dashboard,users,priority:high",2026-02-14,High,Utilisateurs & Analytics,2-3 jours
"Implémenter l'analyse du trafic global du site","Créer un tableau de bord avec visiteurs uniques, pages vues, durée moyenne sessions, taux de rebond, sources trafic, appareils utilisés, graphiques interactifs, export données.","enhancement,dashboard,analytics,priority:medium",2026-02-16,Medium,Utilisateurs & Analytics,2-3 jours
"Créer le système de suivi des actions spécifiques des utilisateurs","Développer un système de tracking avec définition events personnalisés, tracking automatique events clés, entonnoirs conversion, segmentation utilisateurs, rapports personnalisés, alertes événements importants, API intégrations externes.","enhancement,dashboard,analytics,tracking,priority:medium",2026-02-17,Medium,Utilisateurs & Analytics,2-3 jours
"Créer l'interface de gestion des abonnés à la newsletter","Développer une interface avec liste abonnés, filtres/segments, import/export CSV, gestion désabonnements, statuts (actif, inactif, rebond), tags/catégories, historique engagement, conformité RGPD.","enhancement,dashboard,newsletter,marketing,priority:medium",2026-02-18,Medium,Marketing & Newsletter,2 jours
"Implémenter le système de création et envoi de mailings groupés","Créer une interface avec éditeur email WYSIWYG, templates, personnalisation, tests A/B, planification envoi, pièces jointes, statistiques envoi (ouvertures, clics, désabonnements), preview différents clients email.","enhancement,dashboard,newsletter,marketing,priority:high",2026-02-20,High,Marketing & Newsletter,3 jours
"Créer la configuration des offres d'abonnement (prix, durée)","Développer une interface pour créer plans avec nom/description/prix, durée (mensuel, annuel, personnalisé), fonctionnalités incluses, essai gratuit, codes promo/réductions, limites par plan, activation/désactivation, historique modifications.","enhancement,dashboard,billing,subscriptions,priority:high",2026-02-19,High,Monétisation & Abonnements,2-3 jours
"Créer la liste des abonnés actifs et leur gestion","Développer une interface avec liste abonnements, filtres (plan, statut, date), détails par abonnement, modification manuelle, annulation/suspension, renouvellement, statistiques (MRR, churn rate), alertes expiration.","enhancement,dashboard,billing,subscriptions,priority:medium",2026-02-21,Medium,Monétisation & Abonnements,2 jours
"Créer l'affichage de l'historique financier et paiements reçus","Développer une interface avec liste transactions, filtres (date, montant, statut, utilisateur), détails par transaction, statuts (réussi, échoué, remboursé, en attente), export comptable (CSV, PDF), réconciliation bancaire, statistiques financières, rapports périodiques.","enhancement,dashboard,billing,transactions,priority:medium",2026-02-22,Medium,Monétisation & Abonnements,2 jours
"Créer l'interface de mise à jour des informations personnelles","Développer une interface utilisateur avec modification infos personnelles, upload photo profil, changement mot de passe, préférences notification, gestion confidentialité, suppression compte, historique activité, connexion réseaux sociaux.","enhancement,user-space,profile,priority:high",2026-02-14,High,Espace Utilisateur,2 jours
"Créer l'interface de choix et gestion d'abonnement","Développer une interface avec affichage plans disponibles, comparaison plans, sélection/paiement, changement plan (upgrade/downgrade), annulation abonnement, historique abonnements, notification avant renouvellement, gestion moyens paiement.","enhancement,user-space,subscriptions,billing,priority:high",2026-02-19,High,Espace Utilisateur,2-3 jours
"Créer l'historique des factures et téléchargement","Développer une interface avec liste factures, téléchargement PDF, détails par facture, statut paiement, historique paiements, remboursements, mise à jour informations facturation, notifications nouvelles factures.","enhancement,user-space,billing,invoices,priority:medium",2026-02-21,Medium,Espace Utilisateur,2 jours
"Créer la réservation autonome sur les créneaux disponibles","Développer une interface avec calendrier créneaux disponibles, sélection créneau, formulaire détails, confirmation immédiate, email confirmation, rappels automatiques, modification rendez-vous, annulation rendez-vous.","enhancement,user-space,appointments,priority:high",2026-02-13,High,Espace Utilisateur,2-3 jours
"Créer l'accès exclusif au contenu premium","Développer un système avec affichage articles premium, achat à l'acte, accès basé abonnement, bibliothèque personnelle articles achetés, historique achats, système favoris, recommandations personnalisées, mode lecture optimisé.","enhancement,user-space,content,premium,priority:high",2026-02-09,High,Espace Utilisateur,2-3 jours
